Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
"My Estimate 1,US East (N. Virginia),,AWS Data Transfer,0,0,0.00,USD,""DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"""
"My Estimate 1,US East (N. Virginia),,Amazon CloudWatch,0,1.501.259,18015.11,USD,""Number of Metrics (includes detailed and custom metrics) (5000), Standard Logs: Data Ingested (1 GB), Logs Delivered to CloudWatch Logs: Data Ingested (1 GB), Logs Delivered to S3: Data Ingested (1 GB)"""
"My Estimate 1,US East (N. Virginia),,Amazon EC2,0,6641.28,79695.36,USD,""Operating system (Linux), Quantity (6), Pricing strategy (On-Demand Instances), Storage amount (1 TB), Instance type (m5a.8xlarge)"""
"My Estimate 1,US East (N. Virginia),,Amazon Elastic IP,0,0,0.00,USD,""Number of EC2 instances (6), Number of EIPs per instance (1)"""
"My Estimate 1,US East (N. Virginia),,Amazon RDS for Oracle,0,8460.16,101521.92,USD,""Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Number of RDS for Oracle instances (2), Instance type (db.m5.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), License (Bring your own license), Database edition (Enterprise), Pricing strategy (OnDemand)"""
"My Estimate 1,US East (N. Virginia),,Amazon Route 53,0,183,2196.00,USD,""Hosted Zones (1), Additional Records in Hosted Zones (), Number of Elastic Network Interfaces (2)"""
"My Estimate 1,US East (N. Virginia),,S3 Standard,0,235.52,2826.24,USD,""S3 Standard storage (10 TB per month)"""
My Estimate 1,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
"My Estimate 1,US East (N. Virginia),,VPN Connection,0,73,876.00,USD,""Working days per month (22), Number of Site-to-Site VPN Connections (2)"""
"My Estimate 1,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,32.89,394.68,USD,""Number of NAT Gateways (1)"""
"My Estimate 1,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,""DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"""
"My Estimate 1,US East (N. Virginia),,Application Load Balancer,0,44.53,534.36,USD,""Number of Application Load Balancers (2)"""
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.,,,,,,,
,,,,,,,,
Rationale: Increase resources,,,,,,,,
Changes been made,,,,,,,,
RDS service increased to db.m5.8xlarge vCPU: 32 Memory: 128 GiB.,,,,,,,,
Amazon RDS for Oracle increased to db.m5.8xlarge vCPU: 32Memory: 128 GiB,,,,,,,,
Added Amazon CloudWatch, to collect various logs and notify me during any alarms. ,,,,,,,,
,,,,,,,,
"Total monthly,""17,171.64 USD"",,,,,,,"
